产品编号,产品编号,产品品类,销售区域,预测日期,实际销量,预测销量,库存数量,安全库存,补货数量
产品001,产品001,电子产品,华北,2023-11-22,116,78,0,42,120
产品001,产品001,电子产品,华北,2023-11-23,88,78,0,42,120
产品001,产品001,电子产品,华北,2023-11-24,117,77,0,42,119
产品001,产品001,电子产品,华北,2023-11-25,105,77,0,42,119
产品001,产品001,电子产品,华北,2023-11-26,117,74,0,42,116
产品001,产品001,电子产品,华北,2023-11-27,96,75,0,42,117
产品001,产品001,电子产品,华北,2023-11-28,94,75,0,42,117
产品001,产品001,电子产品,华北,2023-11-29,105,77,0,42,119
产品001,产品001,电子产品,华北,2023-11-30,102,78,0,42,120
产品001,产品001,电子产品,华北,2023-12-01,83,75,0,42,117
产品001,产品001,电子产品,华北,2023-12-07,100,78,60,42,60
产品001,产品001,电子产品,华北,2023-12-08,95,74,0,42,116
产品001,产品001,电子产品,华北,2023-12-09,103,77,0,42,119
产品001,产品001,电子产品,华北,2023-12-10,93,76,0,42,118
产品001,产品001,电子产品,华北,2023-12-11,101,76,0,42,118
产品001,产品001,电子产品,华北,2023-12-12,90,76,0,42,118
产品001,产品001,电子产品,华北,2023-12-13,116,77,0,42,119
产品001,产品001,电子产品,华北,2023-12-14,101,77,0,42,119
产品001,产品001,电子产品,华北,2023-12-15,88,77,0,42,119
产品001,产品001,电子产品,华北,2023-12-16,92,78,0,42,120
产品001,产品001,电子产品,华北,2023-12-17,86,76,0,42,118
产品001,产品001,电子产品,华北,2023-12-18,99,75,0,42,117
产品001,产品001,电子产品,华北,2023-12-19,83,76,0,42,118
产品001,产品001,电子产品,华北,2023-12-20,81,74,0,42,116
产品001,产品001,电子产品,华北,2023-12-21,95,79,0,42,121
产品001,产品001,电子产品,华北,2023-12-22,87,73,0,42,115
产品001,产品001,电子产品,华北,2023-12-23,93,76,0,42,118
产品001,产品001,电子产品,华北,2023-12-24,94,75,0,42,117
产品001,产品001,电子产品,华北,2023-12-25,102,78,0,42,120
产品001,产品001,电子产品,华北,2023-12-26,96,76,0,42,118
产品001,产品001,电子产品,华北,2023-12-27,88,79,0,42,121
产品001,产品001,电子产品,华北,2023-12-28,92,80,0,42,122
产品001,产品001,电子产品,华北,2023-12-29,83,78,0,42,120
产品001,产品001,电子产品,华北,2023-12-30,90,76,0,42,118
产品001,产品001,电子产品,华北,2023-12-31,91,77,0,42,119
产品002,产品002,电子产品,华南,2023-11-20,136,81,0,42,123
产品002,产品002,电子产品,华南,2023-11-21,108,82,0,42,124
产品002,产品002,电子产品,华南,2023-11-22,116,83,0,42,125
产品002,产品002,电子产品,华南,2023-11-23,130,82,0,42,124
产品002,产品002,电子产品,华南,2023-11-24,105,82,0,42,124
产品002,产品002,电子产品,华南,2023-11-25,115,81,0,42,123
产品002,产品002,电子产品,华南,2023-11-26,117,82,0,42,124
产品002,产品002,电子产品,华南,2023-11-27,100,80,0,42,122
产品002,产品002,电子产品,华南,2023-11-28,120,82,0,42,124
产品002,产品002,电子产品,华南,2023-11-29,101,81,0,42,123
产品002,产品002,电子产品,华南,2023-11-30,101,82,0,42,124
产品002,产品002,电子产品,华南,2023-12-01,99,75,0,42,117
产品002,产品002,电子产品,华南,2023-12-04,109,78,88,42,32
产品002,产品002,电子产品,华南,2023-12-05,115,76,0,42,118
产品002,产品002,电子产品,华南,2023-12-06,112,76,0,42,118
产品002,产品002,电子产品,华南,2023-12-07,91,78,0,42,120
产品002,产品002,电子产品,华南,2023-12-08,109,77,0,42,119
产品002,产品002,电子产品,华南,2023-12-09,112,78,0,42,120
产品002,产品002,电子产品,华南,2023-12-10,121,78,0,42,120
产品002,产品002,电子产品,华南,2023-12-11,108,78,0,42,120
产品002,产品002,电子产品,华南,2023-12-12,108,77,0,42,119
产品002,产品002,电子产品,华南,2023-12-13,106,78,0,42,120
产品002,产品002,电子产品,华南,2023-12-14,95,74,0,42,116
产品002,产品002,电子产品,华南,2023-12-15,118,77,0,42,119
产品002,产品002,电子产品,华南,2023-12-16,104,78,0,42,120
产品002,产品002,电子产品,华南,2023-12-17,112,76,0,42,118
产品002,产品002,电子产品,华南,2023-12-18,99,74,0,42,116
产品002,产品002,电子产品,华南,2023-12-19,107,77,0,42,119
产品002,产品002,电子产品,华南,2023-12-20,92,75,0,42,117
产品002,产品002,电子产品,华南,2023-12-21,117,76,0,42,118
产品002,产品002,电子产品,华南,2023-12-22,112,74,0,42,116
产品002,产品002,电子产品,华南,2023-12-23,102,75,0,42,117
产品002,产品002,电子产品,华南,2023-12-24,108,74,0,42,116
产品002,产品002,电子产品,华南,2023-12-25,128,76,0,42,118
产品002,产品002,电子产品,华南,2023-12-26,121,77,0,42,119
产品002,产品002,电子产品,华南,2023-12-27,107,78,0,42,120
产品002,产品002,电子产品,华南,2023-12-28,105,83,0,42,125
产品002,产品002,电子产品,华南,2023-12-29,108,81,0,42,123
产品002,产品002,电子产品,华南,2023-12-30,113,76,0,42,118
产品002,产品002,电子产品,华南,2023-12-31,100,82,0,42,124
产品003,产品003,服饰类,华东,2023-11-19,86,70,0,45,115
产品003,产品003,服饰类,华东,2023-11-20,72,69,0,45,114
产品003,产品003,服饰类,华东,2023-11-21,87,70,0,45,115
产品003,产品003,服饰类,华东,2023-11-22,79,70,0,45,115
产品003,产品003,服饰类,华东,2023-11-23,75,68,0,45,113
产品003,产品003,服饰类,华东,2023-11-24,84,70,0,45,115
产品003,产品003,服饰类,华东,2023-11-25,74,69,0,45,114
