产品编号,预测日期,实际销量,预测销量,产品品类,销售区域
产品001,2023-11-22,116,78,电子产品,华北
产品001,2023-11-23,88,78,电子产品,华北
产品001,2023-11-24,117,77,电子产品,华北
产品001,2023-11-25,105,77,电子产品,华北
产品001,2023-11-26,117,74,电子产品,华北
产品001,2023-11-27,96,75,电子产品,华北
产品001,2023-11-28,94,75,电子产品,华北
产品001,2023-11-29,105,77,电子产品,华北
产品001,2023-11-30,102,78,电子产品,华北
产品001,2023-12-01,83,75,电子产品,华北
产品001,2023-12-06,94,76,电子产品,华北
产品001,2023-12-07,100,78,电子产品,华北
产品001,2023-12-08,95,74,电子产品,华北
产品001,2023-12-09,103,77,电子产品,华北
产品001,2023-12-10,93,76,电子产品,华北
产品001,2023-12-11,101,76,电子产品,华北
产品001,2023-12-12,90,76,电子产品,华北
产品001,2023-12-13,116,77,电子产品,华北
产品001,2023-12-14,101,77,电子产品,华北
产品001,2023-12-15,88,77,电子产品,华北
产品001,2023-12-16,92,78,电子产品,华北
产品001,2023-12-17,86,76,电子产品,华北
产品001,2023-12-18,99,75,电子产品,华北
产品001,2023-12-19,83,76,电子产品,华北
产品001,2023-12-20,81,74,电子产品,华北
产品001,2023-12-21,95,79,电子产品,华北
产品001,2023-12-22,87,73,电子产品,华北
产品001,2023-12-23,93,76,电子产品,华北
产品001,2023-12-24,94,75,电子产品,华北
产品001,2023-12-25,102,78,电子产品,华北
产品001,2023-12-26,96,76,电子产品,华北
产品001,2023-12-27,88,79,电子产品,华北
产品001,2023-12-28,92,80,电子产品,华北
产品001,2023-12-29,83,78,电子产品,华北
产品001,2023-12-30,90,76,电子产品,华北
产品001,2023-12-31,91,77,电子产品,华北
产品002,2023-11-20,136,81,电子产品,华南
产品002,2023-11-21,108,82,电子产品,华南
产品002,2023-11-22,116,83,电子产品,华南
产品002,2023-11-23,130,82,电子产品,华南
产品002,2023-11-24,105,82,电子产品,华南
产品002,2023-11-25,115,81,电子产品,华南
产品002,2023-11-26,117,82,电子产品,华南
产品002,2023-11-27,100,80,电子产品,华南
产品002,2023-11-28,120,82,电子产品,华南
产品002,2023-11-29,101,81,电子产品,华南
产品002,2023-11-30,101,82,电子产品,华南
产品002,2023-12-01,99,75,电子产品,华南
产品002,2023-12-03,108,76,电子产品,华南
产品002,2023-12-04,109,78,电子产品,华南
产品002,2023-12-05,115,76,电子产品,华南
产品002,2023-12-06,112,76,电子产品,华南
产品002,2023-12-07,91,78,电子产品,华南
产品002,2023-12-08,109,77,电子产品,华南
产品002,2023-12-09,112,78,电子产品,华南
产品002,2023-12-10,121,78,电子产品,华南
产品002,2023-12-11,108,78,电子产品,华南
产品002,2023-12-12,108,77,电子产品,华南
产品002,2023-12-13,106,78,电子产品,华南
产品002,2023-12-14,95,74,电子产品,华南
产品002,2023-12-15,118,77,电子产品,华南
产品002,2023-12-16,104,78,电子产品,华南
产品002,2023-12-17,112,76,电子产品,华南
产品002,2023-12-18,99,74,电子产品,华南
产品002,2023-12-19,107,77,电子产品,华南
产品002,2023-12-20,92,75,电子产品,华南
产品002,2023-12-21,117,76,电子产品,华南
产品002,2023-12-22,112,74,电子产品,华南
产品002,2023-12-23,102,75,电子产品,华南
产品002,2023-12-24,108,74,电子产品,华南
产品002,2023-12-25,128,76,电子产品,华南
产品002,2023-12-26,121,77,电子产品,华南
产品002,2023-12-27,107,78,电子产品,华南
产品002,2023-12-28,105,83,电子产品,华南
产品002,2023-12-29,108,81,电子产品,华南
产品002,2023-12-30,113,76,电子产品,华南
产品002,2023-12-31,100,82,电子产品,华南
产品003,2023-11-19,86,70,服饰类,华东
产品003,2023-11-20,72,69,服饰类,华东
产品003,2023-11-21,87,70,服饰类,华东
产品003,2023-11-22,79,70,服饰类,华东
产品003,2023-11-23,75,68,服饰类,华东
产品003,2023-11-24,84,70,服饰类,华东
产品003,2023-11-25,74,69,服饰类,华东
产品003,2023-11-26,73,71,服饰类,华东
产品003,2023-11-27,82,70,服饰类,华东
产品003,2023-11-28,76,68,服饰类,华东
产品003,2023-11-29,75,69,服饰类,华东
产品003,2023-11-30,76,67,服饰类,华东
产品003,2023-12-01,84,68,服饰类,华东
产品003,2023-12-02,66,71,服饰类,华东
产品003,2023-12-03,64,71,服饰类,华东
产品003,2023-12-04,51,71,服饰类,华东
产品003,2023-12-05,70,67,服饰类,华东
产品003,2023-12-06,81,68,服饰类,华东
产品003,2023-12-07,84,67,服饰类,华东
产品003,2023-12-08,69,68,服饰类,华东
产品003,2023-12-09,75,68,服饰类,华东
产品003,2023-12-10,78,69,服饰类,华东
产品003,2023-12-11,78,70,服饰类,华东
产品003,2023-12-12,99,70,服饰类,华东
产品003,2023-12-13,77,69,服饰类,华东
产品003,2023-12-14,78,69,服饰类,华东
产品003,2023-12-15,70,68,服饰类,华东
产品003,2023-12-16,68,66,服饰类,华东
产品003,2023-12-17,87,67,服饰类,华东
产品003,2023-12-18,79,65,服饰类,华东
产品003,2023-12-19,85,64,服饰类,华东
产品003,2023-12-20,79,66,服饰类,华东
产品003,2023-12-21,77,65,服饰类,华东
产品003,2023-12-22,74,66,服饰类,华东
产品003,2023-12-23,78,62,服饰类,华东
产品003,2023-12-24,66,63,服饰类,华东
产品003,2023-12-25,57,66,服饰类,华东
产品003,2023-12-26,89,67,服饰类,华东
产品003,2023-12-27,56,67,服饰类,华东
产品003,2023-12-28,56,69,服饰类,华东
产品003,2023-12-29,93,68,服饰类,华东
产品003,2023-12-30,59,66,服饰类,华东
产品003,2023-12-31,89,69,服饰类,华东
产品004,2023-11-19,48,63,食品类,华西
产品004,2023-11-20,47,64,食品类,华西
产品004,2023-11-21,64,60,食品类,华西
产品004,2023-11-22,81,62,食品类,华西
产品004,2023-11-23,64,63,食品类,华西
产品004,2023-11-24,53,63,食品类,华西
产品004,2023-11-25,41,63,食品类,华西
产品004,2023-11-26,53,62,食品类,华西
产品004,2023-11-27,57,62,食品类,华西
产品004,2023-11-28,67,62,食品类,华西
产品004,2023-11-29,76,60,食品类,华西
产品004,2023-11-30,57,62,食品类,华西
产品004,2023-12-01,62,63,食品类,华西
产品004,2023-12-02,64,63,食品类,华西
产品004,2023-12-03,49,60,食品类,华西
产品004,2023-12-04,56,63,食品类,华西
产品004,2023-12-05,60,63,食品类,华西
产品004,2023-12-06,56,63,食品类,华西
产品004,2023-12-07,69,64,食品类,华西
产品004,2023-12-08,61,61,食品类,华西
产品004,2023-12-09,52,61,食品类,华西
产品004,2023-12-10,60,66,食品类,华西
产品004,2023-12-11,61,65,食品类,华西
产品004,2023-12-12,36,62,食品类,华西
产品004,2023-12-13,51,61,食品类,华西
产品004,2023-12-14,61,64,食品类,华西
产品004,2023-12-15,45,61,食品类,华西
产品004,2023-12-16,44,60,食品类,华西
产品004,2023-12-17,44,62,食品类,华西
产品004,2023-12-18,60,66,食品类,华西
产品004,2023-12-19,44,62,食品类,华西
产品004,2023-12-20,62,63,食品类,华西
产品004,2023-12-21,59,60,食品类,华西
产品004,2023-12-22,56,62,食品类,华西
产品004,2023-12-23,59,59,食品类,华西
产品004,2023-12-24,52,58,食品类,华西
产品004,2023-12-25,48,61,食品类,华西
产品004,2023-12-26,64,60,食品类,华西
产品004,2023-12-27,56,60,食品类,华西
产品004,2023-12-28,53,60,食品类,华西
产品004,2023-12-29,60,63,食品类,华西
产品004,2023-12-30,41,65,食品类,华西
产品004,2023-12-31,62,62,食品类,华西
产品005,2023-11-19,53,61,食品类,华北
产品005,2023-11-20,59,60,食品类,华北
产品005,2023-11-21,60,60,食品类,华北
产品005,2023-11-22,54,61,食品类,华北
产品005,2023-11-23,70,61,食品类,华北
产品005,2023-11-24,31,65,食品类,华北
产品005,2023-11-25,60,60,食品类,华北
产品005,2023-11-26,48,61,食品类,华北
产品005,2023-11-27,45,62,食品类,华北
产品005,2023-11-28,51,59,食品类,华北
产品005,2023-11-29,44,60,食品类,华北
产品005,2023-11-30,64,61,食品类,华北
产品005,2023-12-01,39,59,食品类,华北
产品005,2023-12-02,39,60,食品类,华北
产品005,2023-12-03,28,60,食品类,华北
产品005,2023-12-04,34,60,食品类,华北
产品005,2023-12-05,43,62,食品类,华北
产品005,2023-12-06,41,62,食品类,华北
产品005,2023-12-07,32,61,食品类,华北
产品005,2023-12-08,69,61,食品类,华北
产品005,2023-12-09,36,61,食品类,华北
产品005,2023-12-10,42,60,食品类,华北
产品005,2023-12-11,49,62,食品类,华北
产品005,2023-12-12,44,60,食品类,华北
产品005,2023-12-13,43,60,食品类,华北
产品005,2023-12-14,35,61,食品类,华北
产品005,2023-12-15,57,59,食品类,华北
产品005,2023-12-16,33,60,食品类,华北
产品005,2023-12-17,38,60,食品类,华北
产品005,2023-12-18,32,59,食品类,华北
产品005,2023-12-19,42,60,食品类,华北
产品005,2023-12-20,47,61,食品类,华北
产品005,2023-12-21,47,60,食品类,华北
产品005,2023-12-22,63,62,食品类,华北
产品005,2023-12-23,31,60,食品类,华北
产品005,2023-12-24,31,59,食品类,华北
产品005,2023-12-25,60,60,食品类,华北
